Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2024;04:30:00;01-01-2024;04:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448800000018463";;AMR-meter;Afname Actief;18,750;kWh;Gevalideerd;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448800000018463";;AMR-meter;Afname Actief;21,875;kWh;Gevalideerd;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,625;kVArh;Gevalideerd;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448800000018463";;AMR-meter;Afname Actief;20,625;kWh;Gevalideerd;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,625;kVArh;Gevalideerd;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448800000018463";;AMR-meter;Afname Actief;18,125;kWh;Gevalideerd;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448800000018463";;AMR-meter;Afname Actief;17,500;kWh;Gevalideerd;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448800000018463";;AMR-meter;Afname Actief;15,000;kWh;Gevalideerd;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448800000018463";;AMR-meter;Afname Actief;15,625;kWh;Gevalideerd;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
