Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;02:45:00;01-01-2026;03:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;02:45:00;01-01-2026;03:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;03:00:00;01-01-2026;03:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,000;kWh;Gevalideerd;
01-01-2026;03:00:00;01-01-2026;03:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;03:00:00;01-01-2026;03:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;03:00:00;01-01-2026;03:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;03:15:00;01-01-2026;03:30:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2026;03:15:00;01-01-2026;03:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;03:15:00;01-01-2026;03:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;03:15:00;01-01-2026;03:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;03:30:00;01-01-2026;03:45:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2026;03:30:00;01-01-2026;03:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;03:30:00;01-01-2026;03:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;03:30:00;01-01-2026;03:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;03:45:00;01-01-2026;04:00:00;="541448800000018463";;AMR-meter;Afname Actief;11,250;kWh;Gevalideerd;
01-01-2026;03:45:00;01-01-2026;04:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;03:45:00;01-01-2026;04:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;03:45:00;01-01-2026;04:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;04:00:00;01-01-2026;04:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2026;04:00:00;01-01-2026;04:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;04:00:00;01-01-2026;04:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;3,125;kVArh;Gevalideerd;
01-01-2026;04:00:00;01-01-2026;04:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;04:15:00;01-01-2026;04:30:00;="541448800000018463";;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01-01-2026;04:15:00;01-01-2026;04:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;04:15:00;01-01-2026;04:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;04:15:00;01-01-2026;04:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448800000018463";;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;04:30:00;01-01-2026;04:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448800000018463";;AMR-meter;Afname Actief;12,500;kWh;Gevalideerd;
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-01-2026;04:45:00;01-01-2026;05:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;05:00:00;01-01-2026;05:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448800000018463";;AMR-meter;Afname Actief;15,000;kWh;Gevalideerd;
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,250;kVArh;Gevalideerd;
01-01-2026;05:15:00;01-01-2026;05:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448800000018463";;AMR-meter;Afname Actief;13,125;kWh;Gevalideerd;
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;05:30:00;01-01-2026;05:45:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448800000018463";;AMR-meter;Afname Actief;11,875;kWh;Gevalideerd;
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;05:45:00;01-01-2026;06:00:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448800000018463";;AMR-meter;Afname Actief;10,625;kWh;Gevalideerd;
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448800000018463";;AMR-meter;Afname Capacitief;1,875;kVArh;Gevalideerd;
01-01-2026;06:00:00;01-01-2026;06:15:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448800000018463";;AMR-meter;Afname Capacitief;0,625;kVArh;Gevalideerd;
01-01-2026;06:15:00;01-01-2026;06:30:00;="541448800000018463";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448800000018463";;AMR-meter;Afname Actief;13,750;kWh;Gevalideerd;
01-01-2026;06:30:00;01-01-2026;06:45:00;="541448800000018463";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
